PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,GroupID,GroupMemberNo,GroupSize,Deck,CabinNum,Side,Surname,AgeMissing,HomePlanetMissing,CryoSleepMissing,CabinMissing,DestinationMissing,VIPMissing,RoomServiceMissing,FoodCourtMissing,ShoppingMallMissing,SpaMissing,VRDeckMissing,NameMissing,AgeWasOutOfRange,SurnameFreq,CabinNumBin,TotalSpend,IsZeroSpend,SpendCount,IsChild,IsSenior,AgeGroup,LuxurySpend,BasicSpend,LuxuryShare,SpendPerActiveCategory,HasAnyLuxurySpend,IsSolo,IsMultiPassengerGroup,GroupMemberIsLeader,DeckSide,HomePlanetDestination
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0001,1,1,B,0,P,Ofracculy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CabinBin_1,0.0,1,0,0,0,Adult,0.0,0.0,0.0,0.0,0,1,0,1,B_P,Europa_TRAPPIST-1e
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,0002,1,1,F,0,S,Vines,0,0,0,0,0,0,0,0,0,0,0,0,0,4,CabinBin_1,736.0,0,5,0,0,YoungAdult,593.0,143.0,0.8046132971506106,147.2,1,1,0,1,F_S,Earth_TRAPPIST-1e
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0003,1,2,A,0,S,Susent,0,0,0,0,0,0,0,0,0,0,0,0,0,6,CabinBin_1,10383.0,0,4,0,0,MiddleAge,6764.0,3619.0,0.651386748844376,2595.75,1,0,1,1,A_S,Europa_TRAPPIST-1e
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0003,2,2,A,0,S,Susent,0,0,0,0,0,0,0,0,0,0,0,0,0,6,CabinBin_1,5176.0,0,4,0,0,Adult,3522.0,1654.0,0.6803167857832721,1294.0,1,0,1,0,A_S,Europa_TRAPPIST-1e
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,0004,1,1,F,1,S,Santantines,0,0,0,0,0,0,0,0,0,0,0,0,0,6,CabinBin_1,1091.0,0,5,1,0,Teen,567.0,524.0,0.5192307692307693,218.2,1,1,0,1,F_S,Earth_TRAPPIST-1e
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,0005,1,1,F,0,P,Hinetthews,0,0,0,0,0,0,0,0,0,0,0,0,0,7,CabinBin_1,774.0,0,2,0,0,Adult,291.0,483.0,0.37548387096774194,387.0,1,1,0,1,F_P,Earth_PSO J318.5-22
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,0006,1,2,F,2,S,Jacostaffey,0,0,0,0,0,0,0,0,0,0,0,0,0,7,CabinBin_1,1584.0,0,3,0,0,YoungAdult,0.0,1584.0,0.0,528.0,0,0,1,1,F_S,Earth_TRAPPIST-1e
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,0006,2,2,G,0,S,Jacostaffey,0,0,0,0,0,0,0,0,0,0,1,0,0,7,CabinBin_1,0.0,1,0,0,0,YoungAdult,0.0,0.0,0.0,0.0,0,0,1,0,G_S,Earth_TRAPPIST-1e
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,0007,1,1,F,3,S,Beston,0,0,0,0,0,0,0,0,0,0,0,0,0,5,CabinBin_1,1018.0,0,3,0,0,Adult,216.0,802.0,0.21197252208047104,339.3333333333333,1,1,0,1,F_S,Earth_TRAPPIST-1e
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,0008,1,3,B,1,P,Flatic,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CabinBin_1,0.0,1,0,1,0,Teen,0.0,0.0,0.0,0.0,0,0,1,1,B_P,Europa_55 Cancri e
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,0008,2,3,B,1,P,Flatic,0,0,0,0,0,0,0,0,1,0,0,0,0,3,CabinBin_1,0.0,1,0,0,0,Adult,0.0,0.0,0.0,0.0,0,0,1,0,B_P,Europa_TRAPPIST-1e
